mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,10,Well drained,0.0,18.0,1.5,6.5,0.23,23.5,7.0,69.5,1.48,19.5,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,10,Well drained,18.0,61.0,0.75,6.7,0.21,26.0,6.8,67.2,1.27,20.8,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,5,Well drained,0.0,18.0,2.7,6.1,0.23,24.0,4.0,72.0,1.28,20.3,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Napier,5,Well drained,0.0,20.0,3.5,6.7,0.23,23.5,7.0,69.5,1.35,20.1,FIELD_0001
410340,"Galva silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,0.0,20.0,6.2,6.5,0.22,36.0,3.0,61.0,1.25,30.3,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,5,Well drained,0.0,15.0,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Primghar,5,Somewhat poorly drained,0.0,20.0,6.2,6.5,0.22,36.0,3.0,61.0,1.25,30.3,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Steinauer,5,Well drained,0.0,10.0,2.7,7.9,0.18,29.5,33.6,36.9,1.45,24.5,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Colo,5,Poorly drained,0.0,20.0,4.0,6.0,0.22,24.0,7.0,69.0,1.34,20.6,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,0.0,20.0,6.2,6.5,0.22,36.0,3.0,61.0,1.25,30.3,FIELD_0001
410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Primghar,5,Somewhat poorly drained,0.0,20.0,6.2,6.5,0.22,36.0,3.0,61.0,1.25,30.3,FIELD_0001
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,5,Well drained,0.0,15.0,3.1,5.8,0.22,32.0,5.0,63.0,1.28,25.2,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Steinauer,5,Well drained,10.0,28.0,1.6,8.2,0.16,29.5,33.6,36.9,1.45,24.0,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,5,Well drained,15.0,43.0,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0001
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,5,Well drained,15.0,25.0,1.6,6.6,0.22,32.0,5.0,63.0,1.28,27.3,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Monona,5,Well drained,18.0,76.0,0.7,6.6,0.21,24.0,4.0,72.0,1.33,18.9,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Napier,5,Well drained,20.0,74.0,3.25,6.7,0.23,23.5,7.0,69.5,1.36,20.1,FIELD_0001
410340,"Galva silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,20.0,43.0,4.0,6.5,0.22,37.0,2.0,61.0,1.3,30.5,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Primghar,5,Somewhat poorly drained,20.0,43.0,4.0,6.5,0.22,37.0,2.0,61.0,1.3,30.5,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Colo,5,Poorly drained,20.0,36.0,3.5,6.0,0.22,25.0,3.0,72.0,1.28,21.3,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Primghar,5,Somewhat poorly drained,20.0,43.0,4.0,6.5,0.22,37.0,2.0,61.0,1.3,30.5,FIELD_0001
410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Primghar,5,Somewhat poorly drained,20.0,43.0,4.0,6.5,0.22,37.0,2.0,61.0,1.3,30.5,FIELD_0001
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,5,Well drained,25.0,79.0,1.5,7.0,0.19,29.0,5.0,66.0,1.33,24.7,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Steinauer,5,Well drained,28.0,152.0,0.5,8.2,0.14,29.5,33.6,36.9,1.65,22.9,FIELD_0001
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Clime,60,Well drained,0.0,25.0,3.0,7.5,0.16,41.0,5.0,54.0,1.32,22.1,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Clime,60,Well drained,25.0,48.0,2.0,7.9,0.11,48.0,9.0,43.0,1.34,25.7,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Florence,50,Well drained,0.0,10.0,3.0,6.0,0.14,24.0,10.0,66.0,1.32,20.1,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Florence,50,Well drained,10.0,38.0,2.0,6.0,0.04,30.0,9.0,61.0,1.36,24.0,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Labette,35,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.24,28.7,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Labette,35,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.34,30.4,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Sogn,25,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.24,35.0,10.0,55.0,1.25,28.1,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Sogn,25,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Sogn,25,Somewhat excessively drained,18.0,200.0,,,,,,,,,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Tully,5,Well drained,0.0,25.0,3.0,6.5,0.2,34.0,5.0,61.0,1.02,27.9,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Labette,5,Well drained,0.0,18.0,3.0,6.1,0.19,35.0,4.0,61.0,1.24,28.7,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Martin,5,Moderately well drained,0.0,20.0,3.0,6.1,0.2,34.0,5.0,61.0,1.36,27.1,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Labette,5,Well drained,18.0,33.0,2.0,6.1,0.19,38.0,5.0,57.0,1.34,30.4,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Martin,5,Moderately well drained,20.0,36.0,2.0,6.1,0.2,34.0,5.0,61.0,1.3,26.8,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Tully,5,Well drained,25.0,41.0,2.5,6.5,0.19,36.0,4.0,60.0,1.15,29.2,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Sogn,4,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.24,35.0,10.0,55.0,1.25,28.1,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Rock outcrop,4,,0.0,200.0,,,,,,,,,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Sogn,4,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Sogn,4,Somewhat excessively drained,18.0,200.0,,,,,,,,,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Clime,3,Well drained,0.0,25.0,3.0,7.5,0.16,41.0,5.0,54.0,1.32,22.1,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Clime,3,Well drained,25.0,48.0,2.0,7.9,0.11,48.0,9.0,43.0,1.34,25.7,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Dwight,2,Moderately well drained,0.0,15.0,3.0,6.5,0.22,23.0,7.0,70.0,1.15,19.4,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Dwight,2,Moderately well drained,15.0,71.0,1.0,8.0,0.13,53.0,4.0,43.0,1.25,38.3,FIELD_0002
1472142,"Florence-Labette complex, 2 to 12 percent slopes",Aquolls,1,Poorly drained,0.0,30.0,3.0,6.5,0.21,33.0,7.0,60.0,1.3,26.0,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Aquolls,1,Poorly drained,0.0,15.0,3.5,6.7,0.13,56.0,1.0,43.0,1.23,41.2,FIELD_0002
2668821,"Clime-Sogn complex, 3 to 20 percent slopes",Aquolls,1,Poorly drained,15.0,43.0,1.5,6.2,0.13,58.0,1.0,41.0,1.34,38.5,FIELD_0002
1457096,Pits,Pits,100,,,,,,,,,,,,FIELD_0003
1457061,"Muir silt loam, rarely flooded",Muir,90,Well drained,0.0,18.0,3.0,6.1,0.22,23.0,12.0,65.0,1.3,19.6,FIELD_0003
1457092,"Wymore silty clay loam, 1 to 3 percent slopes",Wymore,90,Moderately well drained,0.0,15.0,3.0,6.0,0.22,35.0,4.0,61.0,1.3,27.8,FIELD_0003
1691113,"Malmo clay loam, 2 to 6 percent slopes, eroded",Malmo,90,Moderately well drained,0.0,15.0,3.0,6.1,0.18,38.0,23.0,39.0,1.37,29.9,FIELD_0003
1691117,"Nodaway silt loam, occasionally flooded",Nodaway,90,Moderately well drained,0.0,18.0,3.5,6.7,0.22,25.0,7.0,68.0,1.3,22.1,FIELD_0003
1691123,"Wymore silty clay loam, 0 to 2 percent slopes",Wymore,90,Moderately well drained,0.0,15.0,3.0,6.0,0.22,35.0,4.0,61.0,1.3,27.8,FIELD_0003
2605988,"Ladysmith silty clay loam, 0 to 1 percent slopes",Ladysmith,90,Somewhat poorly drained,0.0,20.0,3.0,5.7,0.21,33.0,7.0,60.0,1.3,26.4,FIELD_0003
1457092,"Wymore silty clay loam, 1 to 3 percent slopes",Wymore,90,Moderately well drained,15.0,28.0,2.5,6.0,0.19,38.0,3.0,59.0,1.35,29.7,FIELD_0003
1691113,"Malmo clay loam, 2 to 6 percent slopes, eroded",Malmo,90,Moderately well drained,15.0,55.0,0.7,7.0,0.12,39.0,23.0,38.0,1.43,29.1,FIELD_0003
1691123,"Wymore silty clay loam, 0 to 2 percent slopes",Wymore,90,Moderately well drained,15.0,28.0,2.5,6.0,0.19,38.0,3.0,59.0,1.35,29.7,FIELD_0003
1457061,"Muir silt loam, rarely flooded",Muir,90,Well drained,18.0,46.0,2.5,6.3,0.22,24.0,10.0,66.0,1.35,20.3,FIELD_0003
1691117,"Nodaway silt loam, occasionally flooded",Nodaway,90,Moderately well drained,18.0,30.0,0.7,6.7,0.22,25.0,11.0,64.0,1.3,20.7,FIELD_0003
2605988,"Ladysmith silty clay loam, 0 to 1 percent slopes",Ladysmith,90,Somewhat poorly drained,20.0,91.0,2.0,7.0,0.15,47.0,6.0,47.0,1.35,35.4,FIELD_0003
1457092,"Wymore silty clay loam, 1 to 3 percent slopes",Wymore,90,Moderately well drained,28.0,45.0,1.0,6.4,0.14,46.0,2.0,52.0,1.4,33.9,FIELD_0003
1691123,"Wymore silty clay loam, 0 to 2 percent slopes",Wymore,90,Moderately well drained,28.0,45.0,1.0,6.4,0.14,46.0,2.0,52.0,1.4,33.6,FIELD_0003
1457072,"Tully silty clay loam, 3 to 7 percent slopes, eroded",Tully,85,Well drained,0.0,18.0,3.0,6.5,0.2,33.0,5.0,62.0,0.96,27.9,FIELD_0003
1457083,"Morrill loam, 1 to 3 percent slopes",Morrill,85,Well drained,0.0,15.0,2.5,5.8,0.18,22.0,36.0,42.0,1.39,18.7,FIELD_0003
1457086,"Pawnee clay loam, 1 to 4 percent slopes",Pawnee,85,Moderately well drained,0.0,15.0,2.0,5.6,0.18,35.0,23.0,42.0,1.4,27.4,FIELD_0003
1457093,"Wymore silty clay loam, 3 to 6 percent slopes, eroded",Wymore,85,Moderately well drained,0.0,15.0,3.0,6.0,0.22,38.0,4.0,58.0,1.3,27.8,FIELD_0003
1691118,"Nodaway silt loam, channeled, occasionally flooded",Nodaway,85,Moderately well drained,0.0,18.0,2.5,6.7,0.22,24.0,7.0,69.0,1.3,22.5,FIELD_0003
1691119,"Otoe silty clay loam, 6 to 11 percent slopes, eroded",Otoe,85,Moderately well drained,0.0,15.0,3.0,5.9,0.19,38.0,5.0,57.0,1.26,29.9,FIELD_0003
1691124,"Wymore silty clay loam, 2 to 6 percent slopes",Wymore,85,Moderately well drained,0.0,15.0,3.0,6.0,0.22,35.0,4.0,61.0,1.3,27.8,FIELD_0003
2505125,"Pawnee clay loam, 4 to 8 percent slopes, eroded",Pawnee,85,Moderately well drained,0.0,15.0,2.0,5.6,0.18,31.0,23.0,46.0,1.33,24.7,FIELD_0003
2559442,"Kennebec silt loam, occasionally flooded",Kennebec,85,Moderately well drained,0.0,20.0,3.0,6.2,0.25,25.0,7.0,68.0,1.4,21.2,FIELD_0003
2559451,"Kennebec silt loam, occasionally flooded",Kennebec,85,Moderately well drained,0.0,20.0,3.0,6.2,0.25,25.0,7.0,68.0,1.4,21.2,FIELD_0003
1457083,"Morrill loam, 1 to 3 percent slopes",Morrill,85,Well drained,15.0,36.0,2.5,5.8,0.15,28.0,32.0,40.0,1.36,23.3,FIELD_0003
1457086,"Pawnee clay loam, 1 to 4 percent slopes",Pawnee,85,Moderately well drained,15.0,25.0,2.0,5.6,0.18,35.0,23.0,42.0,1.4,27.4,FIELD_0003
1457093,"Wymore silty clay loam, 3 to 6 percent slopes, eroded",Wymore,85,Moderately well drained,15.0,27.0,0.75,6.4,0.14,46.0,2.0,52.0,1.4,33.6,FIELD_0003
1691119,"Otoe silty clay loam, 6 to 11 percent slopes, eroded",Otoe,85,Moderately well drained,15.0,45.0,1.4,6.6,0.13,45.0,2.0,53.0,1.4,33.7,FIELD_0003
1691124,"Wymore silty clay loam, 2 to 6 percent slopes",Wymore,85,Moderately well drained,15.0,25.0,2.5,6.0,0.19,38.0,3.0,59.0,1.35,29.7,FIELD_0003
2505125,"Pawnee clay loam, 4 to 8 percent slopes, eroded",Pawnee,85,Moderately well drained,15.0,22.0,2.0,5.6,0.18,33.0,23.0,44.0,1.35,26.1,FIELD_0003
1457072,"Tully silty clay loam, 3 to 7 percent slopes, eroded",Tully,85,Well drained,18.0,71.0,1.5,6.7,0.14,47.0,2.0,51.0,1.4,37.1,FIELD_0003
1691118,"Nodaway silt loam, channeled, occasionally flooded",Nodaway,85,Moderately well drained,18.0,203.0,0.25,6.7,0.22,24.0,7.0,69.0,1.3,22.5,FIELD_0003
2559442,"Kennebec silt loam, occasionally flooded",Kennebec,85,Moderately well drained,20.0,104.0,2.5,6.3,0.25,24.0,6.0,70.0,1.35,21.0,FIELD_0003
2559451,"Kennebec silt loam, occasionally flooded",Kennebec,85,Moderately well drained,20.0,104.0,2.5,6.3,0.25,24.0,6.0,70.0,1.35,21.0,FIELD_0003
2505125,"Pawnee clay loam, 4 to 8 percent slopes, eroded",Pawnee,85,Moderately well drained,22.0,31.0,1.0,6.9,0.12,44.0,23.0,33.0,1.45,32.7,FIELD_0003
1457086,"Pawnee clay loam, 1 to 4 percent slopes",Pawnee,85,Moderately well drained,25.0,35.0,1.0,6.9,0.12,44.0,23.0,33.0,1.45,32.7,FIELD_0003
1691124,"Wymore silty clay loam, 2 to 6 percent slopes",Wymore,85,Moderately well drained,25.0,35.0,1.2,6.4,0.14,46.0,2.0,52.0,1.4,34.1,FIELD_0003
1457093,"Wymore silty clay loam, 3 to 6 percent slopes, eroded",Wymore,85,Moderately well drained,27.0,102.0,0.5,6.9,0.17,39.0,2.0,59.0,1.4,28.8,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Kipson,60,Somewhat excessively drained,0.0,20.0,6.0,7.9,0.18,30.0,12.0,58.0,1.19,24.1,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Kipson,60,Somewhat excessively drained,0.0,20.0,6.0,7.9,0.18,30.0,12.0,58.0,1.19,24.1,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Malmo,60,Moderately well drained,0.0,15.0,3.0,6.1,0.18,38.0,23.0,39.0,1.4,29.9,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Malmo,60,Moderately well drained,15.0,55.0,0.7,7.0,0.12,39.0,23.0,38.0,1.4,29.1,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Kipson,60,Somewhat excessively drained,20.0,33.0,3.0,8.0,0.18,28.0,14.0,58.0,1.32,20.4,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Kipson,60,Somewhat excessively drained,20.0,33.0,3.0,8.0,0.18,28.0,14.0,58.0,1.36,20.4,FIELD_0003
1691110,"Kipson-Sogn-Rock Outcrop complex, 11 to 60 percent slopes",Kipson,50,Somewhat excessively drained,0.0,20.0,6.0,7.9,0.18,30.0,12.0,58.0,1.19,24.1,FIELD_0003
1691110,"Kipson-Sogn-Rock Outcrop complex, 11 to 60 percent slopes",Kipson,50,Somewhat excessively drained,20.0,33.0,3.0,8.0,0.18,28.0,14.0,58.0,1.36,20.4,FIELD_0003
1691110,"Kipson-Sogn-Rock Outcrop complex, 11 to 60 percent slopes",Sogn,35,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.21,35.0,30.0,35.0,1.32,28.1,FIELD_0003
1691110,"Kipson-Sogn-Rock Outcrop complex, 11 to 60 percent slopes",Sogn,35,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4,FIELD_0003
1691110,"Kipson-Sogn-Rock Outcrop complex, 11 to 60 percent slopes",Sogn,35,Somewhat excessively drained,18.0,200.0,,,,,,,,,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Pawnee,30,Moderately well drained,0.0,15.0,2.0,5.6,0.18,35.0,23.0,42.0,1.4,27.4,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Pawnee,30,Moderately well drained,15.0,22.0,2.0,5.6,0.18,35.0,23.0,42.0,1.4,27.4,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Pawnee,30,Moderately well drained,22.0,29.0,1.0,6.9,0.12,44.0,23.0,33.0,1.45,32.7,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Pawnee,30,Moderately well drained,29.0,85.0,0.5,7.8,0.12,40.0,26.0,34.0,1.55,29.4,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Sogn,25,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.24,35.0,10.0,55.0,1.25,28.1,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Sogn,25,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Sogn,25,Somewhat excessively drained,18.0,200.0,,,,,,,,,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Sogn,20,Somewhat excessively drained,0.0,13.0,4.0,7.5,0.24,35.0,10.0,55.0,1.25,28.1,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Sogn,20,Somewhat excessively drained,13.0,18.0,3.5,7.5,0.15,37.0,9.0,54.0,1.31,29.4,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Sogn,20,Somewhat excessively drained,18.0,200.0,,,,,,,,,FIELD_0003
1691110,"Kipson-Sogn-Rock Outcrop complex, 11 to 60 percent slopes",Rock outcrop,15,,0.0,200.0,,,,,,,,,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Otoe,10,Moderately well drained,0.0,15.0,3.0,6.0,0.22,35.0,4.0,61.0,1.3,27.8,FIELD_0003
1691118,"Nodaway silt loam, channeled, occasionally flooded",Nodaway,10,Moderately well drained,0.0,18.0,2.5,6.7,0.22,24.0,7.0,69.0,1.3,22.5,FIELD_0003
1691119,"Otoe silty clay loam, 6 to 11 percent slopes, eroded",Malmo,10,Moderately well drained,0.0,15.0,3.0,6.1,0.18,38.0,23.0,39.0,1.4,29.9,FIELD_0003
1691114,"Malmo, eroded-Pawnee complex, 6 to 11 percent slopes",Otoe,10,Moderately well drained,15.0,35.0,0.8,6.4,0.14,46.0,2.0,52.0,1.4,33.7,FIELD_0003
1691119,"Otoe silty clay loam, 6 to 11 percent slopes, eroded",Malmo,10,Moderately well drained,15.0,55.0,0.7,7.0,0.12,39.0,23.0,38.0,1.4,29.1,FIELD_0003
1691118,"Nodaway silt loam, channeled, occasionally flooded",Nodaway,10,Moderately well drained,18.0,203.0,0.25,6.7,0.22,24.0,7.0,69.0,1.3,22.5,FIELD_0003
1457092,"Wymore silty clay loam, 1 to 3 percent slopes",Baileyville,7,Moderately well drained,0.0,15.0,2.5,6.5,0.13,40.0,2.0,58.0,1.37,31.0,FIELD_0003
1457092,"Wymore silty clay loam, 1 to 3 percent slopes",Baileyville,7,Moderately well drained,15.0,48.0,1.5,6.0,0.12,47.0,1.0,52.0,1.35,35.0,FIELD_0003
1457061,"Muir silt loam, rarely flooded",Detroit,5,Moderately well drained,0.0,16.0,3.0,6.2,0.21,30.0,10.0,60.0,1.3,24.4,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Crete,5,Moderately well drained,0.0,13.0,3.0,5.7,0.21,30.0,7.0,63.0,1.27,24.4,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Labette,5,Well drained,0.0,23.0,3.0,6.1,0.19,35.0,4.0,61.0,1.32,28.7,FIELD_0003
1457070,"Kipson-Sogn complex, 5 to 30 percent slopes",Rock outcrop,5,,0.0,200.0,,,,,,,,,FIELD_0003
1457072,"Tully silty clay loam, 3 to 7 percent slopes, eroded",Martin,5,Moderately well drained,0.0,20.0,3.0,6.1,0.16,40.0,10.0,50.0,1.15,31.2,FIELD_0003
1457083,"Morrill loam, 1 to 3 percent slopes",Ortello,5,Well drained,0.0,20.0,1.5,6.5,0.16,10.0,66.0,24.0,1.5,9.7,FIELD_0003
1457083,"Morrill loam, 1 to 3 percent slopes",Pawnee,5,Moderately well drained,0.0,15.0,2.0,5.6,0.18,35.0,23.0,42.0,1.4,27.4,FIELD_0003
1457083,"Morrill loam, 1 to 3 percent slopes",Wymore,5,Moderately well drained,0.0,15.0,3.0,6.0,0.22,35.0,4.0,61.0,1.3,27.8,FIELD_0003
1457086,"Pawnee clay loam, 1 to 4 percent slopes",Martin,5,Moderately well drained,0.0,15.0,3.5,6.1,0.17,33.0,6.0,61.0,1.4,26.6,FIELD_0003
1457086,"Pawnee clay loam, 1 to 4 percent slopes",Morrill,5,Well drained,0.0,15.0,2.0,5.8,0.14,27.0,33.0,40.0,1.39,22.3,FIELD_0003
1457086,"Pawnee clay loam, 1 to 4 percent slopes",Wymore,5,Moderately well drained,0.0,15.0,3.0,6.0,0.22,35.0,4.0,61.0,1.3,27.8,FIELD_0003
1457093,"Wymore silty clay loam, 3 to 6 percent slopes, eroded",Baileyville,5,Moderately well drained,0.0,15.0,2.5,6.5,0.13,40.0,2.0,58.0,1.37,31.0,FIELD_0003
1457093,"Wymore silty clay loam, 3 to 6 percent slopes, eroded",Pawnee,5,Moderately well drained,0.0,18.0,2.0,5.6,0.18,35.0,23.0,42.0,1.4,27.4,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Benfield,5,Well drained,0.0,20.0,4.0,7.0,0.21,32.0,6.0,62.0,1.29,26.8,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Judson,5,Well drained,0.0,23.0,3.0,6.2,0.18,26.0,12.0,62.0,1.24,21.9,FIELD_0003
1691109,"Kipson-Sogn complex, 3 to 30 percent slopes",Rock outcrop,5,,0.0,200.0,,,,,,,,,FIELD_0003
1691113,"Malmo clay loam, 2 to 6 percent slopes, eroded",Morrill,5,Well drained,0.0,15.0,2.0,5.8,0.14,27.0,33.0,40.0,1.39,22.3,FIELD_0003
1691113,"Malmo clay loam, 2 to 6 percent slopes, eroded",Pawnee,5,Moderately well drained,0.0,15.0,2.0,5.6,0.16,35.0,23.0,42.0,1.42,27.4,FIELD_0003
1691117,"Nodaway silt loam, occasionally flooded",Judson,5,Well drained,0.0,20.0,3.0,6.5,0.22,23.0,5.0,72.0,1.19,19.6,FIELD_0003
1691119,"Otoe silty clay loam, 6 to 11 percent slopes, eroded",Wymore,5,Moderately well drained,0.0,15.0,3.0,6.0,0.22,35.0,4.0,61.0,1.3,27.8,FIELD_0003
